ID,EIS_filename,question_type,question,groundtruth_answer,context
EIS00001,eis_Continental_United_States_Interceptor_Site,closed,Did the U.S. Fish and Wildlife Service participate in the EIS process for the FCTC sites?,Yes,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00002,eis_Continental_United_States_Interceptor_Site,closed,Did the EIS process for the CRJMTC site include participation from the Ohio Department of Education?,No,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00003,eis_Continental_United_States_Interceptor_Site,closed,"Was the Maine Historic Preservation Commission present during the EIS process for the SERE East Site on May 15, 2014?",No,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00004,eis_Continental_United_States_Interceptor_Site,closed,Was the U.S. Environmental Protection Agency present at the meetings for the FTD Site?,Yes,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00005,eis_Continental_United_States_Interceptor_Site,closed,Did formal consultations with regulatory agencies occur during the EIS process?,No,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00006,eis_Continental_United_States_Interceptor_Site,closed,"Was the U.S. Army Corps of Engineers in attendance during federal agency meetings in Boston, MA?",Yes,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00007,eis_Continental_United_States_Interceptor_Site,closed,Has the Michigan Department of Transportation been involved in the EIS process for the SERE East Site?,No,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00008,eis_Continental_United_States_Interceptor_Site,closed,Did the MDA hold meetings with Ohio Department of Transportation for the CRJMTC Site EIS?,Yes,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00009,eis_Continental_United_States_Interceptor_Site,closed,Are informal meeting comments included in the Scoping Report on MDA's website?,No,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
EIS00010,eis_Continental_United_States_Interceptor_Site,closed,"Did the National Parks Services attend an EIS process meeting on August 19, 2015, for the SERE East Site?",Yes,"ES.1.6 Coordination with Regulatory Agencies In addition to public participation, federal and state regulatory agency participation has also been solicited throughout the EIS process. Although no formal consultations have been conducted, informal status meetings and solicitation of input were conducted as follows: 
-	FCTC Sites (FCTC Site 1 and FCTC Site 2): April 30, 2014 at FCTC and October 14, 2015, at Lansing, MI. During these meetings, federal and state agencies in attendance included U.S. Fish and Wildlife Service (USFWS), U.S. Army Corps of Engineers (USACE), U.S. Environmental Protection Agency (USEPA), Michigan Department of Environmental Quality, and Michigan Department of Transportation. 
-	CRJMTC Site: April 24, 2014, and October 16, 2015, at Columbus, OH. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Ohio Environmental Protection Agency, and Ohio State Historic Preservation Office. In addition to these meetings, MDA personnel conducting the CIS specific transportation study also had meetings with the Ohio Department of Transportation (January 26, 2015). 
-	FTD Site: April 4, 2014, and November 3, 2015, at Fort Drum, NY. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, New York State Department of Environmental Quality, and New York State Department of Transportation. 
-	SERE East Site: May 15, 2014, at Augusta, ME; August 19, 2015, at Augusta, ME, with the Maine Historic Preservation Commission and the National Parks Services; and November 5, 2015, at Augusta, ME. During these meetings, federal and state agencies in attendance included USFWS, USACE, USEPA, Maine Department of Environmental Protection, Maine Inland Fish and Wildlife Service, Maine Department of Transportation, Maine State Historic Preservation Office, and Maine Land Use Planning Commission. 
-	Federal Agencies (Boston, MA): April 23, 2015, and November 4, 2015. During these meetings, federal agencies in attendance included USEPA and USACE. 
During these meetings one of the major issues discussed was whether formal consultations would be part of the CIS EIS process. Based on discussions held and due to status of the deployment of the CIS being only "" potential"" at this time, it was agreed that formal consultations with agencies, in specific those requiring potential mitigation would not be held during the EIS process, but that these discussions would be held during the permitting phase once a decision had been made to deploy the CIS and a site for the CIS had been selected. A summary of the comments obtained from the agencies are provided in the Scoping Report on MDA's website: https://www.mda.mil. Informal meeting comments are not included in the Scoping Report.
"
